Id,PostId,VoteTypeId,CreationDate
1105761,405380,2,2009-01-01T00:00:00.000
1106900,402969,2,2009-01-02T00:00:00.000
1107532,405410,2,2009-01-02T00:00:00.000
1108682,403024,2,2009-01-02T00:00:00.000
1111886,405384,2,2009-01-02T00:00:00.000
1119724,403024,2,2009-01-03T00:00:00.000
1120611,406697,2,2009-01-04T00:00:00.000
1120612,406697,1,2009-01-04T00:00:00.000
1202424,244624,2,2009-01-06T00:00:00.000
1202429,244300,2,2009-01-06T00:00:00.000
1258601,417713,2,2009-01-06T00:00:00.000
1259072,417713,2,2009-01-06T00:00:00.000
1259075,417711,2,2009-01-06T00:00:00.000
1259228,417711,2,2009-01-06T00:00:00.000
1259243,417713,2,2009-01-06T00:00:00.000
1260197,417713,2,2009-01-06T00:00:00.000
1262802,417711,3,2009-01-06T00:00:00.000
1264239,417713,2,2009-01-06T00:00:00.000
1282990,417713,1,2009-01-06T00:00:00.000
1301353,111598,2,2009-01-08T00:00:00.000
1301358,112067,2,2009-01-08T00:00:00.000
1316468,261933,2,2009-01-09T00:00:00.000
1320593,323987,2,2009-01-10T00:00:00.000
1373229,111914,2,2009-01-16T00:00:00.000
1373241,124997,2,2009-01-16T00:00:00.000
1378586,156060,2,2009-01-16T00:00:00.000
1378636,244118,2,2009-01-16T00:00:00.000
1378637,244300,2,2009-01-16T00:00:00.000
1378639,244624,2,2009-01-16T00:00:00.000
1378640,244144,2,2009-01-16T00:00:00.000
1378646,156060,2,2009-01-16T00:00:00.000
1378649,111914,2,2009-01-16T00:00:00.000
1378670,111669,2,2009-01-16T00:00:00.000
1378673,112067,2,2009-01-16T00:00:00.000
1383149,106616,1,2009-01-17T00:00:00.000
1472724,244118,2,2009-01-27T00:00:00.000
1482949,485886,2,2009-01-28T00:00:00.000
1482950,485886,1,2009-01-28T00:00:00.000
1521151,498928,2,2009-01-31T00:00:00.000
1522483,498928,2,2009-01-31T00:00:00.000
1550152,319252,2,2009-02-03T00:00:00.000
1550154,319189,2,2009-02-03T00:00:00.000
1550279,319340,2,2009-02-03T00:00:00.000
1554371,509685,2,2009-02-04T00:00:00.000
1554372,509685,2,2009-02-04T00:00:00.000
1554409,509685,2,2009-02-04T00:00:00.000
1554430,509685,2,2009-02-04T00:00:00.000
1554476,509725,2,2009-02-04T00:00:00.000
1554520,509727,2,2009-02-04T00:00:00.000
1554575,509752,2,2009-02-04T00:00:00.000
1554774,509727,2,2009-02-04T00:00:00.000
1554782,509685,2,2009-02-04T00:00:00.000
1554796,509727,2,2009-02-04T00:00:00.000
1555007,509727,2,2009-02-04T00:00:00.000
1555013,509685,2,2009-02-04T00:00:00.000
1555101,509685,2,2009-02-04T00:00:00.000
1555338,509727,3,2009-02-04T00:00:00.000
1555998,501881,2,2009-02-04T00:00:00.000
1559231,401260,1,2009-02-04T00:00:00.000
1576300,498960,2,2009-02-05T00:00:00.000
1576302,501881,2,2009-02-05T00:00:00.000
1577726,510166,2,2009-02-05T00:00:00.000
1587139,207084,2,2009-02-06T00:00:00.000
1587143,207038,2,2009-02-06T00:00:00.000
1593071,501881,1,2009-02-07T00:00:00.000
1609871,207084,2,2009-02-09T00:00:00.000
1609895,207457,2,2009-02-09T00:00:00.000
1616785,531388,2,2009-02-10T00:00:00.000
1616788,531388,2,2009-02-10T00:00:00.000
1616803,531388,2,2009-02-10T00:00:00.000
1616804,531388,2,2009-02-10T00:00:00.000
1616832,531388,2,2009-02-10T00:00:00.000
1616833,531388,2,2009-02-10T00:00:00.000
1616834,531388,2,2009-02-10T00:00:00.000
1616837,531384,2,2009-02-10T00:00:00.000
1617035,531405,2,2009-02-10T00:00:00.000
1617163,531384,2,2009-02-10T00:00:00.000
1617992,531549,2,2009-02-10T00:00:00.000
1617995,531405,2,2009-02-10T00:00:00.000
1619538,531405,2,2009-02-10T00:00:00.000
1619539,531388,2,2009-02-10T00:00:00.000
1619545,531549,2,2009-02-10T00:00:00.000
1625854,534732,2,2009-02-10T00:00:00.000
1625856,534730,2,2009-02-10T00:00:00.000
1625952,534780,2,2009-02-10T00:00:00.000
1625953,534730,2,2009-02-10T00:00:00.000
1625954,534718,2,2009-02-10T00:00:00.000
1625965,534730,2,2009-02-10T00:00:00.000
1625998,534769,2,2009-02-10T00:00:00.000
1626015,534780,2,2009-02-10T00:00:00.000
1626016,534769,2,2009-02-10T00:00:00.000
1626017,534732,2,2009-02-10T00:00:00.000
1626018,534730,2,2009-02-10T00:00:00.000
1626036,534730,2,2009-02-10T00:00:00.000
1626050,534730,2,2009-02-10T00:00:00.000
1626088,534769,2,2009-02-10T00:00:00.000
1626151,534730,2,2009-02-11T00:00:00.000
1626153,534769,2,2009-02-11T00:00:00.000
1626364,534718,2,2009-02-11T00:00:00.000
1626371,534730,2,2009-02-11T00:00:00.000
1626404,534939,2,2009-02-11T00:00:00.000
1626480,534939,2,2009-02-11T00:00:00.000
1626482,534837,2,2009-02-11T00:00:00.000
1627185,534730,2,2009-02-11T00:00:00.000
1629269,534730,2,2009-02-11T00:00:00.000
1631586,534730,2,2009-02-11T00:00:00.000
1632466,534730,2,2009-02-11T00:00:00.000
1669457,531384,2,2009-02-15T00:00:00.000
1669458,531388,2,2009-02-15T00:00:00.000
1708442,124997,2,2009-02-19T00:00:00.000
1712507,256294,1,2009-02-19T00:00:00.000
1729802,570310,2,2009-02-20T00:00:00.000
1729834,257359,2,2009-02-20T00:00:00.000
1729836,257353,2,2009-02-20T00:00:00.000
1729925,570306,2,2009-02-20T00:00:00.000
1730063,570294,2,2009-02-20T00:00:00.000
1730437,570528,2,2009-02-20T00:00:00.000
1730465,570528,2,2009-02-20T00:00:00.000
1730491,570306,1,2009-02-20T00:00:00.000
1730497,570528,2,2009-02-20T00:00:00.000
1730500,570306,2,2009-02-20T00:00:00.000
1730504,570306,2,2009-02-20T00:00:00.000
1803391,257359,2,2009-02-27T00:00:00.000
1803394,257353,2,2009-02-27T00:00:00.000
1808518,596093,2,2009-02-27T00:00:00.000
1808725,596154,2,2009-02-27T00:00:00.000
1808827,596154,3,2009-02-27T00:00:00.000
1808833,596231,2,2009-02-27T00:00:00.000
1808874,596231,2,2009-02-27T00:00:00.000
1808902,596154,2,2009-02-27T00:00:00.000
1808903,596231,2,2009-02-27T00:00:00.000
1808904,596093,2,2009-02-27T00:00:00.000
1808922,596154,2,2009-02-27T00:00:00.000
1809092,596154,2,2009-02-27T00:00:00.000
1809102,596154,2,2009-02-27T00:00:00.000
1809103,596093,2,2009-02-27T00:00:00.000
1809132,596231,2,2009-02-27T00:00:00.000
1809482,596093,2,2009-02-27T00:00:00.000
1809483,596154,2,2009-02-27T00:00:00.000
1810083,596221,2,2009-02-27T00:00:00.000
1810292,596093,2,2009-02-27T00:00:00.000
1810317,596154,2,2009-02-27T00:00:00.000
1810347,596231,2,2009-02-27T00:00:00.000
1821968,256294,2,2009-03-01T00:00:00.000
1821969,256287,2,2009-03-01T00:00:00.000
1836672,596154,1,2009-03-03T00:00:00.000
1847597,111598,2,2009-03-04T00:00:00.000
1870541,570294,2,2009-03-05T00:00:00.000
1872828,617346,2,2009-03-06T00:00:00.000
1872992,617346,2,2009-03-06T00:00:00.000
1873037,617451,2,2009-03-06T00:00:00.000
1873118,617316,2,2009-03-06T00:00:00.000
1873142,617451,2,2009-03-06T00:00:00.000
1873288,617308,2,2009-03-06T00:00:00.000
1873293,617451,2,2009-03-06T00:00:00.000
1875440,617308,2,2009-03-06T00:00:00.000
1879235,619629,2,2009-03-06T00:00:00.000
1879349,619629,2,2009-03-06T00:00:00.000
1879406,619629,1,2009-03-06T00:00:00.000
1903668,617451,1,2009-03-09T00:00:00.000
1903804,617451,2,2009-03-09T00:00:00.000
1903810,617346,2,2009-03-09T00:00:00.000
1912280,244300,3,2009-03-10T00:00:00.000
1925122,112067,2,2009-03-11T00:00:00.000
1925133,112242,2,2009-03-11T00:00:00.000
1925137,111601,3,2009-03-11T00:00:00.000
